sample_id,timestamp,Label,Max_Amplitude,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64
11,0,Fake,3157,0,30,137,240,327,453,530,660,687,958,926,1059,1162,1248,1349,1456,1569,1655,1774,1853,1931,2079,2134,2207,2411,2349,2512,2559,2819,2831,2931,3056,3157,2995,2870,2739,2643,2538,2412,2255,2219,2033,1984,1866,1627,1658,1558,1442,1321,1230,1115,1014,927,816,698,368,500,403,289,208,84,0,0,0
12,0,Fake,3146,0,34,139,181,345,487,576,730,757,851,947,1047,1121,1285,1361,1466,1579,1648,1757,1868,1957,1968,2161,2223,2416,2410,2523,2631,2726,2834,2910,3050,3146,3018,2879,2640,2631,2441,2439,2314,2081,2082,1961,1866,1765,1638,1535,1425,1331,1223,1104,980,911,802,598,592,525,374,292,195,113,0,0,0
13,0,Fake,3151,0,29,132,234,320,489,537,648,747,828,937,1140,1112,1265,1311,1399,1562,1647,1744,1830,1939,2039,2131,2213,2318,2416,2531,2691,2809,2806,2989,3044,3151,2996,2787,2739,2601,2521,2384,2291,2180,2096,1976,1872,1728,1743,1666,1434,1318,1211,1162,1002,911,787,709,641,483,277,187,210,111,154,0,0
14,0,Fake,3161,0,26,128,237,332,436,542,649,743,842,946,1049,1150,1255,1349,1447,1558,1660,1761,1847,1943,2043,2159,2243,2320,2430,2527,2644,2737,2832,2942,3046,3161,3013,2864,2750,2640,2518,2416,2305,2191,2080,1968,1872,1767,1646,1535,1436,1332,1231,1117,1005,897,805,701,589,490,388,294,195,98,0,0,0
15,0,Fake,3141,0,0,123,231,332,411,556,639,707,848,951,1040,1189,1259,1336,1452,1499,1618,1747,1841,1941,2070,2158,2227,2291,2437,2512,2653,2717,2896,2864,3006,3141,3033,2873,2761,2672,2526,2371,2295,2228,2123,1975,1979,1745,1555,1637,1446,1147,1157,1121,1011,918,816,698,593,497,385,291,176,80,11,0,0
16,0,Fake,3171,0,0,167,222,334,431,550,653,735,839,931,1023,1136,1217,1329,1446,1534,1565,1740,1765,1909,2126,2140,2238,2333,2427,2531,2626,2715,2824,2895,3042,3171,3087,2871,2756,2559,2482,2171,2289,2185,2074,1990,1872,1772,1648,1535,1449,1297,1242,1040,928,916,832,672,592,485,384,330,167,87,17,0,0
17,0,Fake,3136,0,28,194,229,373,422,528,628,757,847,911,1040,1089,1229,1330,1535,1621,1535,1844,1845,1897,2038,2138,2307,2348,2417,2527,2623,2733,2863,2914,3030,3136,2999,2874,2808,2601,2507,2397,2310,2187,2087,1968,1867,1739,1649,1643,1348,1245,1248,1059,1072,895,790,682,654,419,341,261,187,102,41,0,0
18,0,Fake,3151,0,112,117,129,464,423,528,660,704,814,945,1034,1120,1234,1345,1424,1525,1649,1808,1535,1910,2035,2145,2230,2321,2416,2535,2661,2741,2828,2915,3042,3151,3027,2882,2767,2649,2521,2405,2282,2181,2092,1930,1890,1729,1639,1526,1456,1309,1201,1101,976,895,789,684,575,482,383,252,158,84,0,0,0
19,0,Fake,3147,0,2,125,44,288,422,527,647,718,830,913,1041,1136,1221,1390,1408,1569,1680,1727,1759,1920,2034,2128,2194,2320,2398,2528,2595,2706,2821,2890,2928,3147,2961,2844,2754,2619,2519,2389,2303,2172,2067,1968,1866,1750,1672,1526,1609,1372,1247,1135,980,888,786,681,583,464,373,291,112,78,0,0,0
20,0,Fake,3145,0,1,107,206,306,476,523,560,684,819,849,938,1092,1247,1350,1199,1535,1631,1719,1845,1945,2032,2123,2247,2316,2461,2470,2586,2671,2774,2995,3029,3145,2983,2849,2729,2640,2512,2390,2274,2185,2001,1943,1766,1712,1635,1615,1426,1293,1200,1073,983,910,783,674,570,470,387,231,243,80,0,0,0
21,0,Fake,3136,0,0,94,137,398,426,430,546,718,816,909,1034,1103,1251,1350,1423,1533,1696,1713,1833,1861,2157,2146,2213,2311,2393,2528,2631,2715,2877,2940,3024,3136,2993,2848,2686,2645,2379,2403,2253,2169,2063,1966,1849,1744,1633,1521,1424,1301,1198,1083,982,891,782,674,570,465,375,274,174,71,0,0,0
22,0,Fake,3134,0,0,95,214,308,418,561,617,683,843,983,1174,1065,1238,1335,1426,1525,1627,1659,1861,1984,2042,2133,2197,2320,2339,2484,2587,2708,2817,2915,3011,3134,2993,2854,2735,2621,2503,2422,2307,2138,2151,2137,1831,1725,1630,1521,1399,1313,1196,1082,1023,897,789,855,541,430,531,263,120,70,0,0,0
23,0,Fake,3135,0,3,104,206,382,417,447,629,845,817,922,1072,1157,1216,1280,1408,1520,1628,1657,1824,1875,2058,2149,2220,2304,2407,2515,2622,2704,2803,2913,3038,3135,2976,2837,2690,2623,2525,2325,2275,2163,2071,1923,1831,1714,1639,1502,1427,1309,1194,1067,1134,779,782,693,568,464,373,257,183,74,0,0,0
24,0,Fake,3165,0,0,130,209,336,449,507,773,721,817,908,973,1121,1239,1332,1424,1521,1623,1679,1841,1891,2000,2160,2192,2320,2399,2495,2603,2749,2809,2943,3040,3103,3165,2838,2686,2585,2512,2414,2271,2160,2064,1951,1854,1730,1620,1520,1413,1168,1206,1085,1008,912,867,688,565,467,390,266,157,106,2,0,0
25,0,Fake,3120,0,0,112,240,340,393,511,609,707,832,887,1023,1122,1227,1309,1347,1493,1585,1915,1821,1921,2010,2130,2226,2324,2403,2513,2559,2672,2768,2891,2978,3120,2829,2854,2721,2608,2512,2407,2273,2188,2017,1953,1841,1791,1660,1661,1409,1313,1206,1091,978,858,774,663,556,450,353,260,143,66,0,0,0
26,0,Fake,3097,0,0,59,205,299,390,547,590,715,784,898,1018,1102,1394,1328,1415,1509,1570,1723,1847,1908,2032,2090,2208,2287,2508,2480,2518,2716,2793,2912,3003,3097,2959,2851,2730,2608,2482,2384,2313,2155,1983,2103,1851,1659,1628,1515,1397,1277,1141,1081,976,850,752,656,574,387,305,249,240,64,0,0,0
27,0,Fake,3133,0,0,94,200,299,368,498,584,695,801,943,992,1261,1191,1169,1392,1507,1617,1728,1811,1867,2013,2103,2198,2331,2372,2450,2609,2694,2775,2816,3007,3133,2974,2825,2759,2613,2490,2398,2259,2161,2072,1842,1803,1742,1674,1503,1403,1307,1174,1072,973,875,775,657,570,436,402,182,163,48,0,0,0
28,0,Fake,3098,0,0,91,199,295,393,495,608,701,811,907,1004,1110,1213,1307,1402,1511,1616,1725,1808,1907,2005,2099,2206,2304,2397,2495,2590,2705,2798,2896,3004,3098,2979,2843,2711,2594,2481,2381,2271,2157,2046,1933,1835,1728,1610,1500,1393,1294,1188,1072,960,858,765,666,556,451,347,251,158,50,0,0,0
29,0,Fake,3103,0,0,85,286,296,393,498,625,698,811,890,1012,1130,1200,1283,1343,1502,1634,1719,1817,1908,2000,2127,2218,2311,2405,2504,2559,2704,2655,2983,3024,3103,2914,2863,2723,2608,2506,2387,2317,2171,2004,1946,1837,1680,1648,1582,1319,1250,1204,1072,972,893,783,655,562,450,366,246,351,78,9,0,0
30,0,Fake,3110,0,0,136,173,284,383,485,560,731,804,904,1022,1109,1194,1306,1421,1498,1610,1693,1994,1878,1945,1949,2192,2297,2398,2498,2613,2675,2844,2896,3008,3110,2963,2802,2698,2559,2557,2374,2258,2149,2000,1961,1819,1708,1616,1517,1405,1151,1183,1127,818,851,674,643,558,427,379,274,155,33,0,0,0
31,0,Fake,3121,0,0,86,183,214,391,485,627,709,793,962,918,1134,1214,1392,1474,1511,1604,1729,1827,1913,2029,2118,2211,2291,2383,2501,2595,2742,2806,2896,2999,3121,2965,2831,2709,2599,2497,2371,2187,2187,2066,1859,1789,1722,1621,1479,1392,1278,1165,1061,971,861,785,656,551,475,478,325,167,57,0,0,0
32,0,Fake,3156,0,0,64,226,291,392,484,597,752,805,858,1000,1104,1070,1307,1362,1502,1649,1535,1805,1904,2001,2132,2192,2297,2386,2503,2608,2678,2770,2871,2983,3156,2960,2831,2717,2602,2526,2295,2247,2153,2081,1936,1808,1725,1811,1478,1273,1287,1168,1072,959,887,772,651,546,427,358,243,160,0,0,0,0
33,0,Fake,3090,0,0,0,179,295,326,509,586,689,834,898,994,1095,1214,1303,1430,1499,1535,1727,1782,1933,2000,2095,2194,2300,2393,2517,2581,2681,2787,2752,2993,3090,2841,2835,2704,2592,2475,2361,2274,2161,2020,1922,1829,1727,1648,1503,1328,1267,1126,982,951,853,740,635,545,432,353,207,154,63,0,0,0
34,0,Fake,3071,0,0,80,192,322,375,501,624,691,811,915,1056,1115,1076,1206,1396,1501,1602,1691,1803,1916,1997,2051,2191,2293,2419,2582,2535,2723,2526,2896,2998,3071,2981,2826,2687,2598,2502,2357,2192,2128,1922,1999,1815,1732,1587,1497,1392,1283,1170,1059,886,841,753,645,497,373,333,244,321,47,0,0,0
35,0,Fake,3093,0,0,83,176,272,399,532,587,852,792,892,991,1098,1199,1296,1398,1492,1595,1702,1891,1874,1936,2105,2238,2437,2382,2480,2559,2682,2800,2877,3008,3093,2960,2722,2707,2677,2494,2320,2320,2150,2031,1922,1826,1714,1593,1490,1387,1053,1173,1085,964,871,731,660,544,445,336,222,133,49,0,0,0
36,0,Fake,3071,0,0,67,176,231,351,481,570,688,752,882,979,1097,1200,1307,1405,1519,1586,1689,1810,1879,1953,2078,2241,2269,2390,2471,2559,2685,2812,2880,2992,3071,2960,2852,2745,2453,2416,2341,2215,2166,1992,1919,1797,1698,1600,1505,1383,1276,1189,1077,889,850,798,657,563,448,343,251,145,48,0,0,0
37,0,Fake,3154,0,0,72,164,285,371,413,549,657,808,873,991,1088,1186,1259,1379,1469,1603,1709,1841,1839,1958,2060,2248,2259,2371,2489,2587,2702,2809,2883,2882,3154,2964,2817,2710,2559,2539,2286,2245,2133,2031,1926,1821,1699,1616,1476,1417,1278,1120,1056,951,807,739,672,479,507,307,234,142,45,0,0,0
38,0,Fake,3087,0,0,70,174,280,374,485,579,685,785,882,976,1090,1194,1287,1391,1494,1594,1702,1797,1889,1985,2090,2189,2283,2382,2478,2559,2685,2785,2868,2977,3087,2956,2828,2701,2559,2457,2361,2247,2137,2016,1911,1820,1705,1595,1485,1386,1268,1168,1059,947,848,747,640,533,430,336,231,142,46,0,0,0
39,0,Fake,3091,0,0,80,177,272,375,574,586,850,854,908,1288,1121,1191,1279,1392,1477,1611,1698,1805,1879,1996,2086,2207,2283,2394,2539,2556,2679,2774,2853,2985,3091,2941,2844,2687,2593,2467,2273,2215,2110,1986,1897,1813,1712,1606,1535,1376,1269,1162,1054,903,843,744,635,550,365,333,240,132,24,0,0,0
40,0,Fake,3067,0,0,64,179,256,386,487,589,659,771,781,982,1089,1276,1283,1382,1520,1611,1682,1796,1913,2067,2014,2174,2265,2384,2468,2559,2675,2800,2867,2965,3067,2951,2807,2726,2591,2376,2358,2226,2101,2021,1919,1813,1648,1599,1509,1366,1258,1136,1069,960,917,739,588,646,450,330,248,170,80,0,0,0
41,0,Fake,3086,0,0,71,147,272,381,483,561,685,789,902,973,1049,1158,1247,1371,1491,1606,1666,1810,1875,1995,2096,2173,2215,2340,2435,2607,2609,2763,2873,2992,3086,2973,2777,2687,2605,2490,2179,2223,2026,1949,1955,1857,1911,1588,1449,1360,1223,1150,1062,978,827,735,595,540,423,178,265,112,30,0,0,0
42,0,Fake,3068,0,0,39,176,286,371,540,567,638,784,848,989,1088,1182,1293,1386,1488,1598,1680,1808,1885,1995,2107,2083,2314,2388,2448,2559,2681,2761,2832,2982,3068,2999,2832,2695,2530,2553,2258,2240,2094,2013,1905,1814,1699,1616,1482,1372,1280,1212,1054,1087,922,721,741,593,422,339,223,128,43,0,0,0
43,0,Fake,3070,0,0,81,161,244,368,478,550,687,766,841,993,1020,1172,1269,1377,1518,1587,1696,1804,1937,1982,1871,2113,2479,2328,2434,2585,2656,2763,2816,2995,3070,2944,2797,2710,2592,2448,2287,2250,2128,1889,1916,1795,1692,1559,1474,1370,1245,1187,1045,1012,753,689,631,538,354,330,224,131,47,0,0,0
44,0,Fake,3014,0,0,62,270,283,320,463,576,701,782,875,989,1061,1201,1280,1371,1483,1584,1712,1766,1873,2021,1955,2224,2266,2375,2481,2559,2670,2765,2907,2983,3014,2853,2782,2690,2597,2365,2328,2234,2126,2023,1919,1811,1703,1596,1478,1440,1235,1138,1068,926,880,757,622,511,433,334,222,114,30,0,0,0
45,0,Fake,3065,0,0,64,167,266,364,463,578,663,770,871,976,1075,1181,1278,1374,1479,1585,1685,1791,1881,1970,2066,2179,2277,2371,2467,2558,2672,2774,2864,2967,3065,2944,2813,2688,2559,2455,2352,2240,2122,2015,1905,1805,1693,1580,1469,1367,1263,1158,1050,941,841,738,636,530,427,330,221,124,23,0,0,0
46,0,Fake,3066,0,0,48,143,259,464,436,581,659,769,818,973,1076,1183,1286,1370,1487,1647,1688,1787,1744,1966,2073,2187,2224,2243,2462,2559,2670,2761,2864,2977,3066,2938,2812,2650,2468,2415,2283,2195,2133,2020,1911,1804,1678,1591,1489,1392,1287,1139,1036,868,866,711,567,483,430,400,215,128,19,0,0,0
47,0,Fake,3042,0,0,109,183,279,410,511,659,660,758,872,969,1115,1174,1279,1374,1488,1506,1703,1805,1856,1972,1807,2159,2267,2374,2496,2530,2640,2759,2887,2983,3042,2908,2899,2647,2555,2455,2336,2185,2149,2022,1904,1798,1689,1594,1472,1354,1262,1171,1072,907,847,723,623,527,419,322,206,111,33,0,0,0
48,0,Fake,3067,0,0,48,157,245,290,475,628,700,747,867,976,1119,1183,1293,1384,1464,1648,1659,1771,1928,1946,2087,1899,2257,2367,2474,2559,2672,2753,2883,2992,3067,2903,2730,2870,2549,2387,2273,2228,2121,2021,1918,1774,1683,1582,1426,1367,1238,1104,1006,962,815,691,609,511,426,324,218,128,27,0,0,0
49,0,Fake,3058,0,0,76,173,290,358,471,576,624,944,892,900,1082,1179,1274,1341,1485,1535,1693,1792,1885,1966,2071,2139,2229,2373,2180,2554,2657,2779,2893,3002,3058,2925,2809,2674,2526,2462,2311,2345,2185,2017,1905,1797,1698,1577,1535,1359,1262,1146,1053,867,934,705,615,544,459,333,217,80,21,0,0,0
50,0,Fake,3024,0,0,39,191,269,276,461,491,734,823,826,967,1072,1179,1282,1391,1494,1504,1697,1791,1872,1936,2043,2190,2273,2351,2462,2558,2673,2771,2835,2971,3024,2934,2871,2679,2544,2433,2342,2204,2114,2009,1894,1762,1693,1569,1479,1253,1251,1170,1023,971,855,728,619,526,420,304,168,122,27,0,0,0
51,0,Fake,3061,0,0,0,162,251,348,375,571,720,765,870,975,1077,1163,1264,1335,1511,1623,1657,1776,1792,1898,1943,2122,2256,2361,2449,2559,2683,2769,2832,2975,3051,3061,2967,2635,2559,2403,2366,2240,2128,2021,1906,1805,1683,1659,1465,1495,1245,1146,1073,931,926,739,623,534,474,345,189,128,3,0,0,0
52,0,Fake,3057,0,0,0,75,259,350,464,501,661,751,872,978,1072,1019,1282,1375,1535,1573,1642,1777,1873,1984,2064,2181,2288,2361,2458,2473,2704,2645,3056,2953,3057,2935,2813,2672,2559,2469,2340,2239,2091,2011,1863,1785,1744,1579,1458,1328,1253,1150,1044,928,816,741,621,501,413,559,207,65,23,0,0,0
53,0,Fake,3071,0,0,33,141,240,329,446,561,659,727,803,967,1061,1104,1280,1372,1479,1573,1667,1807,1872,1982,2065,2022,2267,2529,2495,2559,2778,2758,2863,2960,3071,2929,2788,2673,2587,2455,2323,2209,2163,2000,1889,1726,1680,1575,1451,1344,1309,1158,1040,922,807,613,655,511,449,297,197,111,17,0,0,0
54,0,Fake,3031,0,0,64,149,229,368,457,594,619,864,979,947,1082,1167,1264,1378,1469,1589,1678,1725,1872,2057,2087,2222,2241,2376,2465,2559,2661,2749,2847,2954,3031,2868,2800,2670,2602,2471,2278,2222,2254,2001,1901,1792,1680,1569,1472,1371,1255,1113,1037,951,835,624,672,595,400,317,211,105,22,0,0,0
55,0,Fake,3047,0,0,43,150,256,351,453,555,659,752,865,967,1065,1168,1264,1370,1477,1578,1679,1762,1872,1972,2068,2160,2256,2369,2455,2548,2643,2750,2864,2969,3047,2918,2791,2674,2559,2453,2331,2221,2115,2011,1899,1787,1680,1573,1469,1361,1241,1141,1023,928,823,720,625,498,418,316,208,112,16,0,0,0
56,0,Fake,3111,0,71,29,154,255,342,451,549,662,754,869,960,1063,1159,1328,1379,1449,1498,1679,1783,1866,1984,2085,2174,2282,2357,2455,2773,2590,2800,2843,2896,3111,2927,2801,2703,2559,2448,2333,2167,2099,1868,1924,1869,1823,1586,1473,1362,1250,1143,1038,919,805,718,610,522,503,290,129,112,18,0,0,0
57,0,Fake,3100,0,0,48,154,245,368,432,544,656,729,894,922,994,1106,1353,1393,1515,1535,1674,1775,1874,1956,2059,2182,2211,2362,2381,2603,2768,2773,2877,2931,3100,2928,2794,2608,2557,2455,2343,2277,2111,1778,1873,1790,1634,1564,1338,1342,1251,1136,1031,945,823,737,630,511,431,309,176,117,9,0,0,0
58,0,Fake,3056,0,0,50,228,294,350,448,464,634,754,853,954,1071,1158,1259,1333,1471,1571,1678,1763,1861,2013,2066,2159,2256,2365,2449,2530,2635,2740,2854,2962,3056,2896,2845,2782,2559,2451,2333,2214,2128,2000,1894,1767,1664,1578,1461,1296,1418,1107,1142,940,824,720,607,528,405,313,188,81,65,0,0,0
59,0,Fake,3055,0,0,225,139,259,343,450,562,642,714,853,965,1071,1143,1431,1366,1494,1573,1669,1772,1835,1919,2067,2164,2234,2368,2443,2445,2796,2782,2841,2958,3055,2927,2806,2669,2555,2449,2335,2249,2147,1986,1954,1799,1707,1535,1554,1362,1251,1142,1003,923,873,677,625,506,438,247,240,110,6,0,0,0
60,0,Fake,3042,0,0,79,159,175,368,465,555,547,798,832,927,1075,1117,1250,1365,1481,1573,1664,1759,1861,2022,2043,2103,2224,2356,2446,2581,2695,2741,2861,2986,3042,2913,2817,2624,2582,2427,2338,2161,2114,2138,1918,1782,1677,1568,1463,1360,1227,1127,1035,966,623,738,741,497,415,309,207,114,3,0,0,0
61,0,Fake,3153,0,0,45,107,279,354,450,546,656,737,864,960,1075,1168,1168,1345,1468,1566,1665,1689,1856,1962,2071,2159,2242,2345,2464,2546,2661,2736,3009,3153,3066,2822,2777,2663,2549,2434,2362,2217,2102,2026,1925,1786,1681,1596,1453,1317,1245,1105,1023,935,817,704,620,501,432,313,213,80,43,0,0,0
62,0,Fake,3054,0,0,36,149,246,350,463,556,641,828,871,950,1079,1226,1264,1360,1460,1614,1662,1776,1859,1951,2068,2262,2242,2526,2448,2517,2625,2746,2847,2961,3054,2926,2782,2700,2543,2449,2368,2235,2032,1977,1772,1845,1673,1568,1430,1349,1241,1170,995,932,821,752,545,577,350,336,219,101,3,0,0,0
63,0,Fake,3052,0,0,63,150,252,353,445,540,631,671,885,962,1062,1154,1281,1347,1456,1564,1679,1795,1859,1947,2000,2186,2238,2347,2443,2501,2650,2779,2810,2943,3052,2927,2843,2674,2455,2418,2346,2218,2098,1994,1895,1819,1680,1558,1425,1344,1245,1034,1012,860,830,709,676,498,402,292,206,80,0,0,0,0
64,0,Fake,3120,0,0,15,148,244,345,450,483,645,765,872,929,1073,1165,1244,1451,1413,1570,1823,1750,1866,1965,2078,2157,2257,2344,2480,2557,2641,2737,2816,2941,3027,3120,2789,2668,2583,2458,2340,2207,2091,1984,1897,1729,1664,1633,1418,1243,1300,1125,1015,912,814,706,593,495,373,267,114,155,0,0,0,0
65,0,Fake,3050,0,0,39,138,256,351,446,574,688,710,992,935,1040,1136,1255,1293,1479,1570,1680,1778,1865,1936,2080,2162,2251,2343,2379,2480,2735,2746,2838,2946,3050,2914,2795,2670,2542,2395,2333,2202,2135,2104,1884,1757,1662,1559,1454,1348,1239,1145,1050,930,789,649,560,546,311,295,204,114,8,0,0,0
66,0,Fake,3042,0,0,30,191,214,336,495,551,656,743,849,943,1072,1168,1253,1346,1443,1589,1774,1749,1591,1950,2055,2161,2271,2339,2430,2537,2642,2756,2784,2944,3042,2897,2768,2823,2544,2431,2335,2192,2107,1984,1877,1808,1679,1584,1595,1347,1378,1137,892,912,815,713,629,494,373,314,227,100,0,0,0,0
67,0,Fake,3033,0,0,46,169,247,327,474,555,691,768,793,941,1040,1167,1246,1365,1477,1553,1667,1775,1847,1968,2015,2160,2290,2384,2448,2623,2635,2753,2815,2949,3033,2885,2775,2629,2553,2435,2205,2199,2100,2011,1886,1763,1671,1574,1439,1361,1245,1131,1057,931,748,635,642,582,397,306,201,103,0,0,0,0
68,0,Fake,3047,0,0,42,90,235,338,458,531,640,715,863,981,1023,1141,1170,1353,1466,1564,1695,1750,1849,1961,2070,2159,2249,2288,2547,2514,2623,2706,2847,2950,3047,2915,2768,2663,2555,2423,2325,2212,2096,1936,1885,1744,1680,1562,1449,1329,1273,1136,1023,915,795,816,589,492,528,385,186,95,2,0,0,0
69,0,Fake,2992,0,0,0,170,239,374,449,526,644,757,848,955,1050,1152,1249,1377,1473,1568,1658,1710,1901,1879,2091,2054,2198,2338,2434,2544,2707,2731,2848,2945,2992,2912,2758,2669,2459,2448,2469,2173,2096,1987,1874,1771,1662,1565,1472,1351,1106,1130,1124,927,790,916,598,501,394,285,209,109,19,0,0,0
70,0,Fake,3044,0,0,36,139,235,328,442,589,693,753,853,968,1085,1281,1247,1387,1535,1553,1663,1774,1878,1953,2032,2123,2258,2328,2435,2524,2716,2723,2842,2951,3044,2899,2775,2660,2544,2454,2304,2198,2260,2006,1825,1782,1680,1533,1458,1349,1245,1134,1089,912,810,706,606,493,431,374,323,105,1,0,0,0
71,0,Fake,3037,0,0,109,75,263,371,448,555,651,735,796,955,1098,1149,1243,1328,1357,1456,1674,1727,1844,1951,2058,2182,2192,2374,2441,2462,2835,2797,2864,2938,3037,2928,2759,2646,2527,2434,2322,2224,2092,2006,1885,1765,1526,1560,1535,1348,1179,1130,1005,909,833,704,592,496,373,237,195,49,16,0,0,0
72,0,Fake,3036,0,0,44,142,243,332,443,543,646,743,844,944,1053,1158,1258,1357,1458,1566,1664,1761,1844,1937,2063,2155,2245,2340,2443,2533,2642,2742,2837,2946,3036,2918,2790,2654,2544,2432,2330,2219,2101,1984,1882,1779,1675,1554,1439,1346,1232,1131,1005,897,805,707,598,498,401,295,203,100,0,0,0,0
73,0,Fake,3051,0,0,36,287,180,475,436,483,650,748,851,954,1077,1151,1248,1319,1466,1571,1690,1863,1827,1987,2098,2128,2252,2327,2405,2528,2643,2739,2833,2956,3051,2868,2736,2619,2538,2433,2333,2207,2119,1971,1887,1771,1662,1655,1445,1260,1252,1040,979,747,776,704,603,478,400,304,197,108,0,0,0,0
74,0,Fake,3041,0,0,41,161,231,338,337,578,688,757,976,923,1051,1147,1308,1346,1513,1535,1677,1776,1968,1907,2083,2145,2148,2666,2448,2535,2639,2736,2832,2961,3041,2897,2782,2595,2559,2463,2310,2172,2046,1997,1895,1779,1729,1596,1445,1365,1149,1138,1073,856,848,686,601,495,395,326,240,83,34,0,0,0
75,0,Fake,3056,0,0,16,112,256,352,460,549,677,729,848,973,1006,1168,1234,1328,1450,1565,1666,1797,1850,2053,2081,2071,2207,2338,2417,2546,2640,2739,2813,2959,3056,2883,2769,2655,2480,2455,2352,2132,2143,1984,1888,1766,1670,1569,1443,1345,1231,1119,1023,947,900,659,577,378,371,298,202,115,5,0,0,0
